I,J,Time,Type
10,16,0.0166133,Graph
10,16,0.00561676,FibHeap
10,16,0.00529099,BinHeap
10,16,0.0162911,Graph
10,16,0.00556368,FibHeap
10,16,0.00528284,BinHeap
10,16,0.0162912,Graph
10,16,0.00559159,FibHeap
10,16,0.0054087,BinHeap
10,17,0.0316832,Graph
10,17,0.0100127,FibHeap
10,17,0.0097431,BinHeap
10,17,0.0317711,Graph
10,17,0.00999167,FibHeap
10,17,0.00982662,BinHeap
10,17,0.0314476,Graph
10,17,0.0099711,FibHeap
10,17,0.0096805,BinHeap
10,18,0.0619164,Graph
10,18,0.0188661,FibHeap
10,18,0.0186,BinHeap
10,18,0.0624752,Graph
10,18,0.018817,FibHeap
10,18,0.0185628,BinHeap
10,18,0.0628466,Graph
10,18,0.0188589,FibHeap
10,18,0.0186081,BinHeap
10,19,0.122391,Graph
10,19,0.036392,FibHeap
10,19,0.0361892,BinHeap
10,19,0.122469,Graph
10,19,0.0365689,FibHeap
10,19,0.0363088,BinHeap
10,19,0.122265,Graph
10,19,0.0365414,FibHeap
10,19,0.0363302,BinHeap
10,20,0.243014,Graph
10,20,0.0714735,FibHeap
10,20,0.0713347,BinHeap
10,20,0.242866,Graph
10,20,0.0714781,FibHeap
10,20,0.0726108,BinHeap
10,20,0.243239,Graph
10,20,0.0714996,FibHeap
10,20,0.0713271,BinHeap
10,21,0.485479,Graph
10,21,0.141551,FibHeap
10,21,0.141649,BinHeap
10,21,0.483518,Graph
10,21,0.141811,FibHeap
10,21,0.143609,BinHeap
10,21,0.487857,Graph
10,21,0.14182,FibHeap
10,21,0.143526,BinHeap
10,22,0.984767,Graph
10,22,0.28585,FibHeap
10,22,0.282986,BinHeap
10,22,0.97261,Graph
10,22,0.283267,FibHeap
10,22,0.283328,BinHeap
10,22,0.970717,Graph
10,22,0.282137,FibHeap
10,22,0.282233,BinHeap
10,23,1.93297,Graph
10,23,0.561334,FibHeap
10,23,0.56553,BinHeap
10,23,1.97247,Graph
10,23,0.568811,FibHeap
10,23,0.562013,BinHeap
10,23,1.93229,Graph
10,23,0.562084,FibHeap
10,23,0.56143,BinHeap
10,24,4.03296,Graph
10,24,1.13146,FibHeap
10,24,1.12282,BinHeap
10,24,3.88434,Graph
10,24,1.1213,FibHeap
10,24,1.12773,BinHeap
10,24,3.88042,Graph
10,24,1.12621,FibHeap
10,24,1.13118,BinHeap
10,25,7.77651,Graph
10,25,2.2702,FibHeap
10,25,2.26257,BinHeap
10,25,7.82801,Graph
10,25,2.27084,FibHeap
10,25,2.27105,BinHeap
10,25,7.7561,Graph
10,25,2.24386,FibHeap
10,25,2.27416,BinHeap
10,26,15.4559,Graph
10,26,4.49799,FibHeap
10,26,4.48848,BinHeap
10,26,15.5627,Graph
10,26,4.49437,FibHeap
10,26,4.50151,BinHeap
10,26,15.4885,Graph
10,26,4.49204,FibHeap
10,26,4.50828,BinHeap
